Question ID,Question,Response Type,Response Value / Range,Triggered Tag Category,Triggered Tag
CQ13,How supportive is your environment for your wellness goals?,Single select,Strong support,Context Fit,support_strong
CQ13,How supportive is your environment for your wellness goals?,Single select,Some support,Context Fit,support_some
CQ13,How supportive is your environment for your wellness goals?,Single select,Neutral,Context Fit,support_neutral
CQ13,How supportive is your environment for your wellness goals?,Single select,Unsupportive,Context Fit,support_unsupportive
CQ13,How supportive is your environment for your wellness goals?,Single select,I prefer to do this on my own,Context Fit,support_self_directed
CQ14,What are your main wellness goals?,Multi-select,Fat loss / weight loss,Goal Fit,goal_fat_loss
CQ14,What are your main wellness goals?,Multi-select,Muscle gain,Goal Fit,goal_muscle_gain
CQ14,What are your main wellness goals?,Multi-select,Strength,Goal Fit,goal_strength
CQ14,What are your main wellness goals?,Multi-select,Better energy,Goal Fit,goal_energy
CQ14,What are your main wellness goals?,Multi-select,Better sleep,Goal Fit,goal_sleep_improvement
CQ14,What are your main wellness goals?,Multi-select,Stress reduction,Goal Fit,goal_stress_reduction
CQ14,What are your main wellness goals?,Multi-select,Flexibility or mobility,Goal Fit,goal_flexibility_mobility
CQ14,What are your main wellness goals?,Multi-select,Consistency and discipline,Goal Fit,goal_consistency_discipline
CQ14,What are your main wellness goals?,Multi-select,Overall health,Goal Fit,goal_overall_health
CQ14,What are your main wellness goals?,Multi-select,Body confidence / appearance,Goal Fit,goal_body_confidence
CQ14,What are your main wellness goals?,Multi-select,Return to fitness after a break,Goal Fit,goal_return_to_fitness
CQ14,What are your main wellness goals?,Multi-select,Better recovery,Goal Fit,goal_better_recovery
CQ14,What are your main wellness goals?,Multi-select,Mental calm,Goal Fit,goal_mental_calm
CQ14,What are your main wellness goals?,Multi-select,Sustainable routines,Goal Fit,goal_sustainable_routines
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Lack of time,Barrier Fit,barrier_lack_of_time
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Lack of consistency,Barrier Fit,barrier_lack_of_consistency
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Work stress,Barrier Fit,barrier_work_stress
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Poor sleep,Barrier Fit,barrier_poor_sleep
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Low motivation,Barrier Fit,barrier_low_motivation
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Emotional eating or cravings,Barrier Fit,barrier_emotional_eating_cravings
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Gym anxiety,Barrier Fit,barrier_gym_anxiety
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Lack of knowledge,Barrier Fit,barrier_lack_of_knowledge
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Travel or schedule disruption,Barrier Fit,barrier_travel_schedule_disruption
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Family responsibilities,Barrier Fit,barrier_family_responsibilities
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Injury or physical discomfort,Barrier Fit,barrier_injury_discomfort
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Low activation energy,Barrier Fit,barrier_low_activation_energy
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Overwhelm from complex plans,Barrier Fit,barrier_overwhelm_from_complexity
CQ15,What are the biggest barriers that usually stop you from staying consistent?,Multi-select,Difficulty starting,Barrier Fit,barrier_starting_difficulty
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,No known restriction,Exclude If,exclude_none
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Medical condition,Exclude If,exclude_medical_condition
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Injury,Exclude If,exclude_injury
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Pregnancy or postpartum,Exclude If,exclude_pregnancy_postpartum
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Doctor-advised restriction,Exclude If,exclude_doctor_advised_restriction
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Prefer not to say,Exclude If,exclude_prefer_not_to_say_health
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Severe fatigue,Exclude If,exclude_severe_fatigue
CQ16,"Do you have any health, injury, pregnancy/postpartum, or doctor-advised restrictions we should consider?",Multi-select,Persistent pain,Exclude If,exclude_persistent_pain
DQ01,Derived from user profile combination,Derived rule,sleep_quality_poor OR sleep_quality_very_poor + high-intensity recommendation,Exclude If,exclude_poor_sleep_high_intensity
DQ02,Derived from user profile combination,Derived rule,fitness_beginner OR fitness_restarting + advanced training recommendation,Exclude If,exclude_beginner_advanced_training
DQ03,Derived from user profile combination,Derived rule,stress_high + extreme dieting recommendation,Exclude If,exclude_high_stress_extreme_diet
DQ04,Derived from user profile combination,Derived rule,watchful_deer OR high anxiety pattern + overtracking recommendation,Exclude If,exclude_high_anxiety_overtracking
DQ05,Derived from user profile combination,Derived rule,work_shift_based + strict sleep timing recommendation,Exclude If,exclude_shift_work_strict_sleep_schedule
DQ06,Derived from user profile combination,Derived rule,work_travel_heavy + rigid routine recommendation,Exclude If,exclude_travel_heavy_rigid_routine
DQ07,Derived from user profile combination,Derived rule,time_under_10_min OR time_10_20_min + long workout recommendation,Exclude If,exclude_low_time_long_workouts
DQ08,Derived from user profile combination,Derived rule,barrier_emotional_eating_cravings + extreme restriction recommendation,Exclude If,exclude_emotional_eating_extreme_restriction
